3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
21;24;37;18;65;45;288;61;21;45;74;193;45;54;27;15;33;102;18;36
26;27;28;14;85;36;182;55;28;40;57;180;53;80;35;31;46;121;19;47
15;18;33;13;46;24;145;46;19;32;43;120;32;95;43;18;25;79;14;31
19;16;26;14;41;24;98;38;12;38;29;94;27;50;38;14;31;66;15;28
13;26;21;12;38;26;83;28;15;31;25;80;33;46;23;15;26;47;13;24
18;29;29;17;49;33;120;31;13;39;48;98;28;42;31;23;44;58;25;39
15;21;33;24;47;24;98;44;33;27;55;143;29;38;36;28;25;68;26;29
15;18;29;18;45;28;180;43;16;34;46;144;30;54;31;26;34;77;18;33
21;23;33;16;64;34;156;38;18;28;42;88;32;53;33;24;26;56;23;26
18;25;23;17;43;32;128;35;16;35;46;71;28;40;34;27;25;74;24;36
14;23;27;18;33;25;93;36;15;27;26;64;36;38;25;27;28;44;18;31
18;28;29;31;55;33;231;55;27;49;66;207;31;43;21;33;26;74;23;48
17;31;36;21;42;40;98;57;31;46;58;78;48;61;35;25;36;54;31;38
23;33;39;34;66;38;151;54;26;44;54;132;32;70;29;23;31;95;32;37
34;28;31;46;80;39;183;38;29;47;44;149;43;82;34;22;36;82;43;27
21;26;39;33;68;31;149;29;19;49;39;124;40;57;28;20;32;76;28;32
28;32;43;24;71;38;280;47;18;44;28;200;38;66;37;22;27;85;23;28
23;27;45;35;54;29;198;39;17;35;26;120;31;55;28;19;34;54;22;26
